Ind_Ext,Force_Ext,Ind_Ret,Force_Ret,Ind_Away,Force_Away,Ind_Ext2,Force_Ext2,IndentXWave,IndentFitWave
-1.10E-06,-5.27E-10,3.19E-08,4.78E-08,-1.13E-06,4.39E-09,3.89E-09,2.42E-09,-1.10E-06,0
-1.10E-06,-6.15E-10,3.22E-08,4.92E-08,-1.14E-06,4.47E-09,3.19E-08,4.78E-08,-1.10E-06,0
-1.10E-06,-8.08E-10,3.23E-08,4.79E-08,-1.14E-06,4.34E-09,,,-1.10E-06,0
-1.10E-06,-7.32E-10,3.21E-08,4.62E-08,-1.14E-06,4.85E-09,,,-1.10E-06,0
-1.10E-06,-5.50E-10,3.17E-08,4.44E-08,-1.14E-06,4.70E-09,,,-1.10E-06,0
-1.10E-06,-2.86E-10,3.11E-08,4.28E-08,-1.14E-06,4.44E-09,,,-1.10E-06,0
-1.10E-06,-1.56E-10,3.04E-08,4.12E-08,-1.14E-06,4.90E-09,,,-1.10E-06,0
-1.10E-06,-2.09E-11,2.98E-08,3.94E-08,-1.14E-06,5.16E-09,,,-1.10E-06,0
-1.10E-06,-7.88E-11,2.91E-08,3.78E-08,-1.14E-06,5.21E-09,,,-1.10E-06,0
-1.10E-06,3.48E-10,2.84E-08,3.62E-08,-1.14E-06,5.34E-09,,,-1.10E-06,0
-1.10E-06,1.66E-10,2.77E-08,3.46E-08,-1.14E-06,5.64E-09,,,-1.10E-06,0
-1.09E-06,3.31E-10,2.70E-08,3.30E-08,-1.14E-06,6.05E-09,,,-1.09E-06,0
-1.09E-06,3.99E-10,2.63E-08,3.16E-08,-1.14E-06,6.01E-09,,,-1.09E-06,0
-1.09E-06,4.11E-10,2.56E-08,3.00E-08,-1.14E-06,6.21E-09,,,-1.09E-06,0
-1.09E-06,4.88E-10,2.49E-08,2.84E-08,-1.14E-06,5.76E-09,,,-1.09E-06,0
-1.09E-06,3.95E-10,2.42E-08,2.71E-08,-1.14E-06,5.68E-09,,,-1.09E-06,0
-1.09E-06,6.11E-10,2.34E-08,2.55E-08,-1.14E-06,5.69E-09,,,-1.09E-06,0
-1.09E-06,6.46E-10,2.27E-08,2.40E-08,-1.14E-06,5.71E-09,,,-1.09E-06,0
-1.09E-06,5.85E-10,2.19E-08,2.28E-08,-1.14E-06,5.80E-09,,,-1.09E-06,0
-1.09E-06,5.61E-10,2.11E-08,2.12E-08,-1.14E-06,5.54E-09,,,-1.09E-06,0
-1.09E-06,7.80E-10,2.04E-08,1.96E-08,-1.14E-06,5.58E-09,,,-1.09E-06,0
-1.08E-06,1.01E-09,1.96E-08,1.79E-08,-1.14E-06,5.57E-09,,,-1.08E-06,0
-1.08E-06,1.02E-09,1.88E-08,1.63E-08,-1.14E-06,5.37E-09,,,-1.08E-06,0
-1.08E-06,8.26E-10,1.80E-08,1.52E-08,-1.14E-06,5.65E-09,,,-1.08E-06,0
-1.08E-06,3.94E-10,1.72E-08,1.39E-08,-1.14E-06,5.55E-09,,,-1.08E-06,0
-1.08E-06,2.65E-10,1.64E-08,1.32E-08,-1.14E-06,5.62E-09,,,-1.08E-06,0
-1.08E-06,-1.42E-10,1.56E-08,1.21E-08,-1.14E-06,5.43E-09,,,-1.08E-06,0
-1.08E-06,-1.54E-10,1.47E-08,1.10E-08,-1.14E-06,4.95E-09,,,-1.08E-06,0
-1.08E-06,-3.89E-10,1.39E-08,9.87E-09,-1.14E-06,4.60E-09,,,-1.08E-06,0
